loc_rowid,pl_orbsmax,pl_rade,st_rad,st_lum
2582,0.215,3.16,0.94,-0.161
2583,0.207,3.04,0.94,-0.187
2585,0.2132,2.995,0.94,-0.187
2643,0.05208,17.318,2.59,0.971
2649,0.018,1.72,1.13,0.049
2691,0.1163,2.501,0.78,-0.444
2714,0.049,15.805,1.2,0.248
2722,0.04707,15.233,1.16,0.21
2753,0.02012,1.745,1.1,0.139
2798,0.0695,0.892,0.69,-0.686
2814,0.03863,1.533,0.78,-0.577
2816,0.0382,1.606,0.78,-0.577
2817,0.03876,1.602,0.78,-0.577
2818,0.0653,1.511,0.78,-0.577
2823,0.0652,1.507,0.78,-0.577
2827,0.237,1.61,0.78,-0.577
2828,0.1463,1.31,0.78,-0.577
2861,0.1228,9.17,2.94,0.712
2899,0.1162,2.0,0.71,-0.625
2900,0.121,1.872,0.73,-0.636
2901,0.17,2.149,0.73,-0.636
2903,0.1646,1.87,0.71,-0.625
2904,0.04298,0.75,0.71,-0.625
2906,0.068,0.818,0.71,-0.625
2908,0.0906,1.137,0.71,-0.625
2911,0.072,2.045,0.79,-0.443
2940,0.02933,1.24,0.44,-1.44
2942,0.04749,1.533,0.44,-1.44
2951,0.0568,16.141,1.56,0.668
3026,0.01802,1.627,0.87,-0.27
3032,0.1783,2.923,0.87,-0.27
3062,0.1436,9.718,1.28,0.305
3264,0.1202,2.45,1.19,0.28
3283,0.229,3.71,1.75,1.158
3305,0.0714,2.112,0.91,-0.125
3306,0.0719,2.15,0.91,-0.123
3309,0.1448,2.521,0.91,-0.125
3312,0.1458,2.67,0.91,-0.123
3315,0.0503,1.073,0.91,-0.125
3402,0.05995,2.84,0.68,-0.744
3408,0.1233,2.73,0.68,-0.744
3475,0.0166,1.613,1.22,0.24
3530,0.049,2.16,1.05,0.072
3560,0.1066,7.398,1.75,0.425
3561,0.1115,7.263,1.73,0.433
3563,0.105,6.86,1.66,0.356
3586,0.02085,1.35,1.04,0.098
3588,0.04813,3.228,1.04,0.098
3606,0.262,3.89,0.87,-0.31
3630,0.08,2.247,0.74,-0.45
3691,0.107,3.48,0.98,-0.155
3693,0.0436,1.58,0.98,-0.155
3694,0.0649,1.37,0.98,-0.155
3739,0.01782,22.754,0.72,-0.678
3804,0.048,2.085,1.31,0.371
3806,0.0674,1.939,1.31,0.371
3808,0.1027,2.164,1.31,0.371
3901,0.0621,1.9,1.23,0.279
3908,0.0558,10.424,1.05,0.009
3918,0.0943,10.447,0.82,-0.445
3942,0.0188,2.03,0.51,-1.357
3945,0.0491,1.94,0.51,-1.357
3981,0.0288,1.22,0.61,-1.102
3985,0.1641,2.66,0.59,-1.143
4035,0.0916,12.207,4.11,0.943
4036,0.033,1.31,0.47,-1.444
4037,0.03194,1.34,0.46,-1.479
4038,0.045,1.48,0.47,-1.444
4039,0.04341,1.603,0.46,-1.479
4040,0.077,2.02,0.47,-1.444
4042,0.07487,2.003,0.46,-1.479
4043,0.1346,1.73,0.46,-1.479
4046,0.0707,1.014,0.68,-0.777
4047,0.1185,3.0,0.68,-0.777
4051,0.11728,3.03,0.71,-0.785
4053,0.1538,1.565,0.68,-0.777
4089,0.0591,12.274,0.99,-0.049
4098,0.0248,2.25,0.35,-1.824
4105,0.0266,2.2,0.35,-1.824
4108,0.0327,2.59,0.35,-1.824
4111,0.0159,1.38,0.55,-1.292
4113,0.0454,1.33,0.63,-0.996
4115,0.0616,1.73,0.63,-0.996
4117,0.0774,1.64,0.63,-0.996
4118,0.083,1.64,0.57,-1.31
4123,0.0727,2.0,0.44,-1.585
4125,0.0365,1.35,0.43,-1.553
4130,0.1735,2.81,0.63,-1.06
4131,0.0601,2.0,0.49,-1.367
4133,0.0408,2.23,0.65,-1.018
4135,0.0683,2.1,0.65,-1.018
4138,0.0546,1.55,0.53,-1.229
4142,0.092,1.95,0.53,-1.229
4144,0.1886,1.64,0.53,-1.229
4180,0.0999,2.264,1.46,0.436
4238,0.1591,2.61,0.44,-1.597
4265,0.0526,2.69,0.79,-0.408
4414,0.0382,1.73,0.68,-0.733
4418,0.0662,2.85,0.68,-0.733
4478,0.028,1.75,0.72,-0.721
4540,0.0991,11.859,1.23,0.216
4542,0.10356,11.209,1.16,0.238
4545,0.03317,1.398,0.74,-0.523
4546,0.06687,1.335,0.74,-0.523
4548,0.1527,2.64,0.74,-0.523
4555,0.03558,16.197,1.26,0.371
4562,0.0441,1.1,0.36,-1.796
4563,0.0576,1.0,0.36,-1.796
4564,0.0685,1.1,0.36,-1.796
4572,0.154,5.68,1.21,0.158
4573,0.247,7.82,1.21,0.158
4581,0.0513,2.0,0.54,-1.276
4582,0.1159,1.8,0.54,-1.276
4598,0.0287,3.44,0.29,-2.088
4614,0.0962,2.67,0.52,-1.31
4624,0.1087,9.505,1.64,0.346
4626,0.1034,9.528,1.64,0.328
4632,0.2573,2.41,0.85,-0.26
4645,0.01306,3.3,0.7,-0.823
4646,0.0679,0.705,0.7,-0.823
4649,0.1035,2.93,0.7,-0.823
4651,0.1249,2.73,0.7,-0.823
4775,0.04771,2.78,0.61,-1.013
4783,0.1768,2.1,0.62,-1.046
4785,0.164,1.9,0.32,-1.93
4792,0.04097,11.209,0.75,-0.427
4806,0.03261,1.589,0.9,-0.166
4815,0.0747,2.078,0.55,-1.231
4816,0.0777,2.29,0.6,-1.15
4837,0.1413,1.77,0.6,-1.15
4839,0.1357,1.582,0.55,-1.231
4847,0.2014,1.458,0.55,-1.231
4851,0.2097,1.65,0.6,-1.15
4857,0.04839,11.646,0.84,-0.256
4858,0.0419,11.982,0.84,-0.27
4864,0.04986,13.406,0.94,-0.112
4920,0.1016,8.676,0.82,-0.325
4923,0.0409,5.76,1.1,-0.83
4966,0.0465,15.435,1.58,0.484
4970,0.04419,15.132,1.53,0.471
5049,0.0223,1.43,0.72,-0.57
5059,0.054,3.2,0.72,-0.57
5135,0.04994,1.54,1.06,0.037
5138,0.09514,2.29,1.06,0.037
5255,0.027,1.015,0.2,-2.455
5257,0.088,2.66,0.55,-1.27
5258,0.063,3.31,0.58,-1.202
5500,0.017,1.08,0.54,-1.327
5503,0.091,2.25,0.31,-1.921
5523,0.0653,3.47,0.4,-1.678
5551,0.02466,12.442,1.46,0.542
5558,0.0525,15.681,1.21,0.217
5566,0.06229,15.356,2.72,0.744
5572,0.06708,19.952,2.37,0.892
5573,0.02956,17.038,1.37,0.279
5581,0.04613,16.175,1.48,0.412
5588,0.02044,15.861,1.36,0.401
5592,0.04881,17.094,1.65,0.876
5595,0.0455,17.598,1.91,0.813
5601,0.0637,21.409,1.83,0.978
5614,0.0542,19.515,1.56,1.104
5617,0.05224,17.777,1.64,0.905
5619,0.03302,14.83,1.0,0.034
5626,0.06969,14.258,1.51,0.565
5637,0.04122,15.076,1.47,0.489
5640,0.04317,19.044,1.6,0.535
5648,0.07939,13.372,1.58,0.493
5651,0.04415,17.183,1.73,0.758
5671,0.03462,21.196,2.36,1.724
6156,0.006,0.759,0.2,1.36
6157,0.0076,0.867,0.2,1.36
6168,0.05119,1.71,1.52,0.479
6189,0.1013,4.32,1.52,0.479
6202,0.1684,11.27,1.52,0.479
6215,0.3046,6.56,1.52,0.479
6249,0.01685,1.47,1.06,0.002
6256,0.01684,1.416,1.06,0.002
6266,0.2407,2.227,1.06,0.002
6276,0.241,2.35,1.06,0.002
7007,0.066,4.81,1.58,0.607
7946,0.751,7.084,1.15,0.158
9463,0.3006,1.34,0.45,-1.533
10389,0.178,2.9,1.17,0.155
11438,0.0753,0.64,0.54,-1.252
11456,0.0913,1.51,0.54,-1.252
11473,0.1288,1.51,0.54,-1.252
11886,0.2543,2.15,0.57,-1.158
12387,0.2149,1.93,0.52,-1.247
12923,0.05714,10.76,0.99,-0.087
12974,1.24,3.64,0.91,-0.161
13108,0.1097,0.8,0.39,-1.695
13129,0.753,12.42,1.29,0.328
13132,0.0997,1.176,1.29,0.328
13512,0.5421,1.79,0.71,-0.606
