loc_rowid,pl_orbsmax,pl_rade,st_rad,st_lum
33818,0.057,2.19,0.34,-1.886
33819,0.054,2.09,0.34,-1.886
33822,0.133,3.05,0.98,-0.05
33823,0.1108,11.982,2.75,0.997
33826,0.05064,14.359,1.61,0.653
33827,0.0513,16.287,1.4,0.435
33842,0.828,11.321,1.64,0.406
33845,0.03319,19.84,1.25,0.25
33849,0.02234,3.51,1.04,-0.004
33853,0.09564,11.321,0.79,-0.401
33856,0.0854,11.153,1.56,0.484
33858,0.05009,14.37,1.57,0.533
33867,0.1363,1.74,0.46,-1.542
33871,0.158,11.209,1.05,-0.013
33872,0.04871,8.608,0.89,-0.252
33875,0.0341,1.44,0.21,-2.387
33878,0.112,10.424,1.1,0.051
33879,0.0212,1.612,0.75,-0.472
33880,0.02118,1.402,0.73,-0.471
33882,0.0749,2.18,0.73,-0.471
33883,0.0228,2.94,0.2,0.531
33888,0.0831,9.864,1.24,0.197
33890,0.0543,10.368,1.75,0.436
33894,0.0559,1.52,0.43,-1.643
33903,0.1166,11.142,2.36,1.167
33907,0.05741,2.74,0.88,-0.08
33909,0.073,11.209,1.12,0.116
33911,0.1511,8.676,0.79,-0.44
33914,0.249,10.133,0.79,-0.44
33917,0.0672,10.929,1.69,0.405
33921,0.1528,7.163,1.87,0.636
33922,0.04145,13.641,1.09,0.079
33924,0.0571,14.46,1.48,0.388
33926,0.0635,12.072,1.73,0.471
33928,0.3,12.106,1.07,-0.004
33932,0.0607,18.103,1.34,0.34
33939,0.0306,1.247,0.38,-1.77
33940,0.03197,1.206,0.38,-1.712
33943,0.0472,2.42,0.38,-1.77
33944,0.04526,2.355,0.38,-1.712
33948,0.0733,2.13,0.38,-1.77
33950,0.0721,2.133,0.38,-1.712
33954,0.0569,17.262,1.07,0.055
33957,0.03185,18.114,1.25,0.336
33958,0.0493,15.278,1.23,0.164
33961,0.0475,12.845,1.26,0.246
33962,0.03386,13.159,1.07,0.037
33964,0.0505,16.432,1.67,0.444
33969,0.02709,11.4,0.37,-1.79
33972,0.03144,12.98,0.95,-0.093
33974,0.153,12.801,1.83,0.739
33976,0.0675,12.229,1.42,0.286
33978,0.04289,23.539,1.23,0.19
33980,0.04194,8.295,0.61,-1.125
33984,0.0456,13.081,1.3,0.283
33985,0.0813,12.599,0.79,-0.344
33989,0.0263,11.142,0.5,-1.407
33991,0.03845,12.0,0.62,-1.06
33992,0.043,5.14,0.5,-1.435
33994,0.0421,18.495,1.47,0.332
33997,0.04611,13.137,1.54,0.4
33999,0.0354,6.0,0.3,-2.032
34000,0.0463,14.28,1.39,0.273
34002,0.0743,12.274,1.5,0.413
34014,0.04469,13.047,1.11,0.176
34021,0.3081,12.285,1.29,0.316
34023,0.05222,13.574,1.44,0.439
34026,0.04823,13.305,0.86,-0.287
34027,0.0336,2.43,0.23,-2.264
34029,0.03924,12.666,0.62,-1.092
34030,0.03944,12.69,0.62,-1.092
34031,0.04,13.675,0.63,-1.119
34049,0.05251,2.266,0.6,-1.127
34051,0.0814,2.415,0.6,-1.127
34054,0.0579,15.11,3.52,0.822
34055,0.201,11.209,1.29,0.362
34058,0.0534,2.52,0.37,-1.768
34061,0.04036,13.26,1.06,0.011
34064,0.0164,2.82,0.45,-1.604
34066,0.0283,1.91,0.88,-0.189
34067,0.0823,3.1,0.88,-0.189
34071,0.1208,4.07,0.88,-0.189
34074,0.118,12.17,0.86,-0.236
34075,0.0994,11.859,3.55,0.803
34077,0.0359,1.415,0.37,-1.693
34083,0.349,6.8,0.81,-0.377
34086,1.152,9.42,0.81,-0.377
34088,0.0888,11.68,2.74,1.017
34090,0.173,8.183,1.72,0.695
34093,0.0555,12.442,1.41,0.38
34097,0.097,11.097,1.66,0.435
34100,0.01845,8.474,0.35,-1.836
34108,0.06519,4.74,1.24,0.299
34110,0.1439,3.86,1.24,0.299
34116,0.01648,11.87,0.36,-1.836
34119,0.0159,11.545,0.35,-1.851
34120,0.0199,11.6,0.39,-1.712
34128,0.052,9.303,0.54,-1.31
34129,0.0296,5.82,0.61,-1.095
34131,0.04041,10.604,0.59,-1.213
34133,0.04,9.7,0.56,-1.244
34140,0.01223,0.903,0.19,-2.461
34146,0.332,11.31,1.06,1.057
34148,0.1291,12.173,1.5,0.547
34151,0.0723,12.229,1.23,0.227
34152,0.0106,1.37,0.83,-0.282
34154,0.01064,1.45,0.83,-0.282
34155,0.0106,1.425,0.84,-0.273
34158,0.0888,2.9,0.83,-0.282
34160,0.089,2.91,0.83,-0.282
34161,0.0884,2.91,0.84,-0.273
34163,0.158,2.82,0.84,-0.273
34165,0.159,2.82,0.83,-0.282
34166,0.328,2.55,0.84,-0.273
34167,0.33,2.55,0.83,-0.282
34170,0.02734,11.433,1.09,0.033
34177,0.0352,1.625,0.33,-1.83
34181,0.0678,18.977,1.73,0.768
34182,0.04825,3.76,0.55,-1.288
34185,0.0708,9.236,1.42,0.474
34187,0.0486,11.882,1.34,0.394
34188,0.06608,19.851,2.08,0.834
34193,0.025,5.25,0.42,-1.614
34200,0.0677,1.037,0.42,-1.635
34201,0.0677,0.914,0.42,-1.64
34203,0.0637,1.01,0.42,-1.633
34205,0.0929,2.6,0.42,-1.64
34206,0.0925,2.63,0.42,-1.633
34208,0.0929,2.65,0.42,-1.635
34209,0.1633,1.144,0.42,-1.635
34210,0.1633,1.073,0.42,-1.64
34212,0.163,1.19,0.42,-1.633
34214,0.134,0.953,0.42,-1.64
34215,0.07928,2.049,0.67,-0.728
34217,0.2447,2.701,0.67,-0.728
34220,0.3405,2.474,0.67,-0.728
34223,0.0618,1.992,0.95,-0.086
34229,0.0207,1.422,0.24,-2.26
34232,0.0652,1.85,0.54,-1.31
34236,0.1,2.02,0.54,-1.31
34237,0.06,15.4,1.71,0.76
34244,0.02177,2.926,0.69,-0.71
34259,0.04435,14.067,1.31,0.253
34261,0.1054,1.664,0.72,-0.56
34265,0.092,11.994,1.39,0.431
34267,0.056,2.426,0.53,-1.292
34269,0.312,2.167,0.53,-1.292
34271,0.04666,13.126,0.92,-0.137
34280,0.04796,4.81,1.02,-0.369
34281,0.0498,4.242,0.89,-0.359
34283,0.0847,5.79,1.02,-0.369
34285,0.088,4.793,0.89,-0.359
34287,0.04963,9.55,1.89,0.535
34293,0.01111,1.086,0.12,-3.281
34294,0.01111,1.113,0.12,-3.28
34295,0.01154,1.116,0.12,-3.257
34302,0.01522,1.049,0.12,-3.28
34304,0.01521,1.056,0.12,-3.281
34305,0.0158,1.097,0.12,-3.257
34307,0.02144,0.772,0.12,-3.281
34309,0.02227,0.788,0.12,-3.257
34312,0.02817,0.918,0.12,-3.281
34313,0.02925,0.92,0.12,-3.257
34316,0.0371,1.045,0.12,-3.281
34319,0.03849,1.045,0.12,-3.257
34321,0.0451,1.127,0.12,-3.281
34323,0.04683,1.129,0.12,-3.257
34326,0.06189,0.755,0.12,-3.257
34327,0.063,0.755,0.12,-3.281
34350,0.03925,11.96,0.81,-0.359
34366,0.03563,13.305,0.95,-0.023
34375,0.03556,14.258,1.02,0.038
34387,0.03558,13.72,1.0,0.025
34397,0.02272,14.706,0.81,-0.228
34399,0.02282,14.975,0.83,-0.204
34408,0.05105,19.986,1.85,0.656
34413,0.05092,19.627,1.82,0.642
34416,0.05091,20.165,2.01,0.726
34438,0.1719,9.729,1.28,-0.02
34441,0.1687,10.22,1.31,-0.03
34446,0.0841,5.156,1.28,-0.02
34449,0.1103,6.434,1.28,-0.02
34451,0.2409,8.239,1.28,-0.02
34462,0.03957,16.97,1.52,0.459
34473,0.03889,16.623,1.47,0.441
34509,0.01985,17.127,1.44,0.413
34541,0.0435,11.265,0.79,-0.469
34547,0.043,10.2,0.74,0.0
34591,0.0234,21.297,1.66,0.607
34611,0.02544,20.905,1.46,0.519
34670,0.067,10.05,0.75,-0.597
34674,0.0182,1.85,0.75,-0.597
34739,0.08215,8.474,0.91,-0.139
34756,0.0499,16.01,1.48,0.49
34810,0.0673,12.812,1.71,0.647
34818,0.0266,13.473,1.01,-0.076
34865,0.0337,12.285,0.94,-0.114
34877,0.02508,14.404,1.1,0.083
34879,0.05503,16.107,1.35,0.436
34896,0.0545,21.745,1.8,1.215
34912,0.02024,13.899,1.32,0.428
34948,0.01652,15.861,1.01,-0.043
34970,0.0676,16.41,1.24,0.274
34973,0.03144,12.117,0.87,-0.313
34984,0.03138,12.005,0.84,-0.328
35070,0.03151,14.5,1.36,0.434
35138,0.0446,13.002,1.0,-0.021
35167,0.02312,15.838,0.89,-0.179
35214,0.03453,12.33,0.91,-0.198
35219,0.03963,10.604,0.85,-0.336
35323,0.04101,12.038,0.8,-0.463
35418,0.02648,14.247,1.06,-0.022
35446,0.06206,13.9,1.69,0.505
35484,0.03708,14.24,1.98,0.724
35489,0.05512,13.002,2.07,0.716
35516,0.02335,13.787,0.91,-0.129
35568,0.03908,16.018,1.28,0.246
35705,0.01,1.24,0.41,-1.63
35707,0.0571,2.03,0.69,-0.644
35708,0.05706,2.043,0.69,-0.676
35729,0.03673,11.422,1.01,-0.155
35743,0.0454,13.641,1.38,0.465
35776,0.0488,12.431,1.08,-0.056
35807,8.9,16.8,1.54,0.953
35871,0.06839,2.042,1.1,0.16
